start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
2025-06-12,854,8,l3_reached,13.1,108.2,20.0
2025-06-12,855,9,l3_reached,14.8,129.9,18.5
2025-06-12,856,9,l3_reached,12.6,114.4,26.0
2025-06-12,857,9,l3_reached,15.3,136.7,23.3
2025-06-12,858,10,l3_reached,11.5,96.5,17.8
2025-06-12,859,10,l3_reached,14.0,123.7,21.0
2025-06-12,860,10,l3_reached,14.7,122.4,24.0
2025-06-12,861,11,l3_reached,10.9,117.0,19.5
2025-06-12,862,11,l3_reached,15.2,112.3,19.5
2025-06-12,863,11,degenerated,16.5,141.0,29.5
2025-06-12,864,12,l3_reached,16.6,141.5,16.0
2025-06-12,865,12,l3_reached,12.6,116.7,21.0
2025-06-12,866,12,l3_reached,15.9,116.9,17.0
