group,duration_label,start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
pooled_control,control,2025-06-12,836,2,l3_reached,13.0,115.20000000000002,18.19999999999999
pooled_control,control,2025-06-12,837,3,l3_reached,17.200000000000003,120.10000000000001,16.69999999999999
pooled_control,control,2025-06-12,838,3,l3_reached,20.800000000000004,128.10000000000002,22.69999999999999
pooled_control,control,2025-06-12,839,3,l3_reached,14.399999999999999,118.6,23.0
pooled_control,control,2025-06-12,841,4,l3_reached,13.5,98.69999999999999,26.80000000000001
pooled_control,control,2025-06-12,842,4,l3_reached,14.799999999999997,125.2,23.0
pooled_control,control,2025-06-12,843,5,l3_reached,14.900000000000002,138.4,19.0
pooled_control,control,2025-06-12,844,5,l3_reached,14.599999999999998,118.1,21.0
pooled_control,control,2025-06-12,845,5,l3_reached,16.999999999999996,131.10000000000002,24.599999999999994
pooled_control,control,2025-06-12,846,6,l3_reached,17.700000000000003,125.3,20.69999999999999
pooled_control,control,2025-06-12,847,6,l3_reached,11.3,123.5,22.30000000000001
pooled_control,control,2025-06-12,848,6,l3_reached,14.800000000000004,131.3,25.0
pooled_control,control,2025-06-12,849,7,l3_reached,14.299999999999997,98.6,18.0
pooled_control,control,2025-06-12,850,7,l3_reached,15.900000000000002,123.8,20.0
pooled_control,control,2025-06-12,851,7,l3_reached,17.900000000000006,153.6,23.0
pooled_control,control,2025-06-12,852,8,l3_reached,15.0,119.5,20.0
pooled_control,control,2025-06-12,853,8,l3_reached,18.700000000000003,129.3,24.0
pooled_control,control,2025-06-12,854,8,l3_reached,13.099999999999998,108.2,20.0
pooled_control,control,2025-06-12,855,9,l3_reached,14.8,129.9,18.5
pooled_control,control,2025-06-12,856,9,l3_reached,12.600000000000001,114.4,26.0
pooled_control,control,2025-06-12,857,9,l3_reached,15.3,136.7,23.30000000000001
pooled_control,control,2025-06-12,858,10,l3_reached,11.500000000000004,96.49999999999999,17.80000000000001
pooled_control,control,2025-06-12,859,10,l3_reached,13.999999999999996,123.7,21.0
pooled_control,control,2025-06-12,860,10,l3_reached,14.700000000000003,122.4,24.0
pooled_control,control,2025-06-12,861,11,l3_reached,10.899999999999999,117.0,19.5
pooled_control,control,2025-06-12,862,11,l3_reached,15.200000000000003,112.3,19.5
pooled_control,control,2025-06-12,864,12,l3_reached,16.6,141.5,16.0
pooled_control,control,2025-06-12,865,12,l3_reached,12.599999999999998,116.7,21.0
pooled_control,control,2025-06-12,866,12,l3_reached,15.900000000000002,116.9,17.0
uvc_6W_2s,2s,2025-06-10,795,1,l3_reached,21.0,118.0,18.0
uvc_6W_2s,2s,2025-06-10,798,2,l3_reached,22.099999999999994,125.2,22.0
uvc_6W_2s,2s,2025-06-10,801,3,l3_reached,13.100000000000001,135.4,15.0
uvc_6W_2s,2s,2025-06-10,804,4,l3_reached,22.5,221.5,32.0
uvc_6W_2s,2s,2025-06-10,807,5,l3_reached,20.799999999999997,149.2,20.0
uvc_6W_2s,2s,2025-06-10,810,6,l3_reached,17.700000000000003,136.3,20.0
uvc_6W_2s,2s,2025-06-10,813,7,l3_reached,15.200000000000003,128.5,21.0
uvc_6W_2s,2s,2025-06-10,816,8,l3_reached,17.5,126.4,29.599999999999994
uvc_6W_2s,2s,2025-06-10,822,10,l3_reached,13.399999999999999,114.2,16.5
uvc_6W_2s,2s,2025-06-10,825,11,l3_reached,32.400000000000006,116.1,19.0
uvc_6W_2s,2s,2025-06-10,828,12,l3_reached,17.9,124.7,15.0
uvc_6W_2s,2s,2025-06-11,796,1,l3_reached,26.599999999999994,144.4,26.399999999999977
uvc_6W_2s,2s,2025-06-11,799,2,l3_reached,15.700000000000003,117.6,20.400000000000006
uvc_6W_2s,2s,2025-06-11,802,3,l3_reached,14.0,121.0,22.0
uvc_6W_2s,2s,2025-06-11,805,4,l3_reached,23.200000000000003,128.5,20.0
uvc_6W_2s,2s,2025-06-11,808,5,l3_reached,20.39999999999999,127.4,25.0
uvc_6W_2s,2s,2025-06-11,811,6,l3_reached,18.0,142.8,20.0
uvc_6W_2s,2s,2025-06-11,817,8,l3_reached,16.799999999999997,115.2,21.0
uvc_6W_2s,2s,2025-06-11,820,9,l3_reached,22.0,152.0,12.0
uvc_6W_2s,2s,2025-06-11,823,10,l3_reached,18.7,131.6,20.0
uvc_6W_2s,2s,2025-06-11,826,11,l3_reached,19.099999999999994,128.2,34.0
uvc_6W_2s,2s,2025-06-11,829,12,l3_reached,18.1,133.4,21.599999999999994
uvc_6W_2s,2s,2025-06-12,797,1,l3_reached,15.7,135.0,25.0
uvc_6W_2s,2s,2025-06-12,800,2,l3_reached,15.599999999999998,125.2,23.0
uvc_6W_2s,2s,2025-06-12,803,3,l3_reached,17.0,133.8,33.0
uvc_6W_2s,2s,2025-06-12,806,4,l3_reached,14.0,127.0,17.0
uvc_6W_2s,2s,2025-06-12,809,5,l3_reached,18.0,118.0,19.0
uvc_6W_2s,2s,2025-06-12,815,7,l3_reached,14.2,126.5,17.0
uvc_6W_2s,2s,2025-06-12,821,9,l3_reached,15.700000000000003,124.0,18.0
uvc_6W_2s,2s,2025-06-12,824,10,l3_reached,13.5,111.9,25.5
uvc_6W_2s,2s,2025-06-12,827,11,l3_reached,13.899999999999999,115.5,25.0
uvc_6W_5s,5s,2025-06-10,759,1,l3_reached,25.799999999999997,154.9,25.0
uvc_6W_5s,5s,2025-06-10,761,1,l3_reached,29.400000000000006,177.0,21.0
uvc_6W_5s,5s,2025-06-10,762,2,l3_reached,15.100000000000001,130.9,24.0
uvc_6W_5s,5s,2025-06-10,763,2,l3_reached,21.5,126.8,30.0
uvc_6W_5s,5s,2025-06-10,764,2,l3_reached,19.4,105.0,48.0
uvc_6W_5s,5s,2025-06-10,765,3,l3_reached,19.300000000000004,129.3,23.0
uvc_6W_5s,5s,2025-06-10,766,3,l3_reached,33.0,134.0,27.0
uvc_6W_5s,5s,2025-06-10,767,3,l3_reached,22.599999999999994,147.7,24.0
uvc_6W_5s,5s,2025-06-10,768,4,l3_reached,22.200000000000003,136.8,25.0
uvc_6W_5s,5s,2025-06-10,769,4,l3_reached,26.5,147.5,24.0
uvc_6W_5s,5s,2025-06-10,770,4,l3_reached,41.900000000000006,147.6,25.0
uvc_6W_5s,5s,2025-06-10,771,5,l3_reached,21.599999999999994,139.0,19.0
uvc_6W_5s,5s,2025-06-10,772,5,l3_reached,26.400000000000006,170.0,25.0
uvc_6W_5s,5s,2025-06-10,775,6,l3_reached,36.099999999999994,184.9,36.0
uvc_6W_5s,5s,2025-06-10,776,6,l3_reached,33.60000000000002,189.0,24.0
uvc_6W_5s,5s,2025-06-10,777,7,arrested,40.0,,
uvc_6W_5s,5s,2025-06-10,778,7,l3_reached,18.5,125.5,29.0
uvc_6W_5s,5s,2025-06-10,779,7,l3_reached,41.0,183.0,29.0
uvc_6W_5s,5s,2025-06-10,780,8,l3_reached,24.0,175.0,19.0
uvc_6W_5s,5s,2025-06-10,781,8,l3_reached,14.799999999999997,120.2,19.0
uvc_6W_5s,5s,2025-06-10,782,8,arrested,,,
uvc_6W_5s,5s,2025-06-10,783,9,arrested,,,
uvc_6W_5s,5s,2025-06-10,784,9,l3_reached,22.0,145.0,22.0
uvc_6W_5s,5s,2025-06-10,785,9,l3_reached,18.299999999999997,121.7,19.0
uvc_6W_5s,5s,2025-06-10,786,10,arrested,66.0,,
uvc_6W_5s,5s,2025-06-10,787,10,l3_reached,22.299999999999997,141.70000000000002,18.69999999999999
uvc_6W_5s,5s,2025-06-10,788,10,arrested,,,
uvc_6W_5s,5s,2025-06-10,789,11,arrested,,,
uvc_6W_5s,5s,2025-06-10,790,11,l3_reached,20.199999999999996,147.2,19.5
uvc_6W_5s,5s,2025-06-10,791,11,l3_reached,57.400000000000006,165.6,20.0
uvc_6W_5s,5s,2025-06-10,792,12,l3_reached,24.599999999999994,147.4,27.0
uvc_6W_5s,5s,2025-06-10,793,12,l3_reached,15.600000000000001,119.9,18.5
uvc_6W_5s,5s,2025-06-10,794,12,l3_reached,21.0,133.5,25.0
